-6,-8,14,-10,-2,-16,-18,4,-20,-12
8,-14,-18,20,16,6,-2,-4,10,-12
-14,-12,18,20,-16,-4,-2,-8,-10,6
-8,10,-12,-14,16,-18,-20,2,-4,-6
14,12,-18,-20,-16,4,2,-8,-10,-6
16,10,18,14,2,6,-20,8,4,-12
-8,16,14,-10,-2,-18,6,4,-20,-12
-6,10,14,-16,4,-18,2,-20,-12,-8
-10,-16,20,18,-12,-2,-8,-4,-14,6
14,-8,10,12,-20,18,16,2,6,-4
-8,14,18,-20,16,6,2,4,10,12
16,18,-10,-14,-4,-6,-20,-8,2,-12
14,-8,-10,12,-20,-18,16,2,6,-4
-6,-18,-8,-2,-14,20,-16,-10,-4,12
16,18,-10,-14,-4,-6,20,-8,2,12
-6,-8,-18,-2,14,20,16,10,-4,12
-6,-18,-8,-2,14,20,16,10,-4,12
14,16,-12,-20,-4,-18,-8,2,-10,-6
-18,-12,10,-14,-20,16,-2,-6,4,-8
-16,-10,18,-14,-2,6,20,-8,4,12
-16,-14,12,20,4,18,8,-2,10,6
14,-16,-18,20,2,6,8,10,-4,12
-16,14,18,-20,-2,-6,4,-8,-10,12
-8,14,18,-20,-16,6,2,4,-10,12
16,-14,8,18,2,-20,-4,10,6,-12
8,-10,-18,-16,14,-4,-20,2,-6,-12
10,8,-12,-14,2,-16,-18,-20,-4,-6
-16,14,18,20,-2,6,4,-8,10,12
-8,16,10,-2,14,18,6,20,12,4
